 sin(alpha):  0.20000000000000001        tg(beta):   1.0000000000000000     
   323.00000000000000       0.40562073706054774       0.30524433767832354       0.75253632220671984     
   324.00000000000000       0.40551580644539076       0.30862482902933835       0.76106732246674991     
   325.00000000000000       0.40540529714570828       0.31201477787883564       0.76963665762535216     
   326.00000000000000       0.40528886637993894       0.31541440828823081       0.77824592396413095     
   327.00000000000000       0.40516618444746816       0.31882393821978483       0.78689671166553621     
   328.00000000000000       0.40503693451913486       0.32224357982069318       0.79559060509695234     
   329.00000000000000       0.40490081243133813       0.32567353969060453       0.80432918307821688     
   330.00000000000000       0.40475752648362923       0.32911401913373162       0.81311401913373171     
   331.00000000000000       0.40460665501369875       0.33256521439662029       0.82194697065810907     
   332.00000000000000       0.40444723213100531       0.33602731689255522       0.83083104592421075     
   333.00000000000000       0.40427819568160173       0.33950051341350757       0.83976953751146333     
